epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.02251,3.6269,3.83863,1.97009,0.00083,0.00379,0.00042,8e-05,2.82166,3.64486,1.69179,2e-05,2e-05,2e-05
2,1.9638,3.06934,3.68672,1.66397,0.00083,0.00379,0.00042,4e-05,2.68624,3.63187,1.60255,5.9802e-05,5.9802e-05,5.9802e-05
3,2.85324,2.97001,3.6204,1.74819,0.00083,0.00379,0.00042,4e-05,2.68624,3.63187,1.60255,9.934e-05,9.934e-05,9.934e-05
4,3.75997,2.79428,3.59248,1.71871,0.00417,0.01894,0.00215,0.00068,2.55696,3.61225,1.49013,0.000138614,0.000138614,0.000138614
5,4.6176,3.01731,3.61712,1.80608,0.00417,0.01894,0.00215,0.00068,2.55696,3.61225,1.49013,0.000177624,0.000177624,0.000177624
6,5.59757,3.14625,3.51057,1.68323,0.01917,0.08712,0.01099,0.00354,2.60321,3.56074,1.41585,0.00021637,0.00021637,0.00021637
7,6.48762,2.83038,3.44522,1.41499,0.01917,0.08712,0.01099,0.00354,2.60321,3.56074,1.41585,0.000254852,0.000254852,0.000254852
8,7.44286,2.64513,3.44665,1.34225,0.01917,0.08712,0.01099,0.00354,2.60321,3.56074,1.41585,0.00029307,0.00029307,0.00029307
9,8.33901,2.64161,3.31461,1.36486,0.0525,0.23864,0.04348,0.01575,2.61739,3.42735,1.30005,0.000331024,0.000331024,0.000331024
10,9.26447,2.5682,3.27704,1.30953,0.0525,0.23864,0.04348,0.01575,2.61739,3.42735,1.30005,0.000368714,0.000368714,0.000368714
11,10.0765,2.4361,3.20464,1.28679,0.0525,0.23864,0.04348,0.01575,2.61739,3.42735,1.30005,0.00040614,0.00040614,0.00040614
12,10.9524,2.59283,3.22234,1.3276,0.0525,0.23864,0.04348,0.01575,2.61739,3.42735,1.30005,0.000443302,0.000443302,0.000443302
13,11.842,2.53568,2.99146,1.27957,0.07833,0.35606,0.07577,0.02831,2.40974,3.33014,1.23341,0.0004802,0.0004802,0.0004802
14,12.6613,2.37436,2.78302,1.27747,0.07833,0.35606,0.07577,0.02831,2.40974,3.33014,1.23341,0.000516834,0.000516834,0.000516834
15,13.4874,2.49902,2.88708,1.26703,0.07833,0.35606,0.07577,0.02831,2.40974,3.33014,1.23341,0.000553204,0.000553204,0.000553204
16,14.2857,2.72369,2.8362,1.3979,0.07833,0.35606,0.07577,0.02831,2.40974,3.33014,1.23341,0.00058931,0.00058931,0.00058931
17,15.1424,2.60198,2.82182,1.35634,0.07833,0.35606,0.07577,0.02831,2.40974,3.33014,1.23341,0.000625152,0.000625152,0.000625152
18,15.9759,2.61705,2.78506,1.34036,0.07833,0.35606,0.07577,0.02831,2.40974,3.33014,1.23341,0.00066073,0.00066073,0.00066073
19,16.9068,2.44805,2.50486,1.25006,0.095,0.43182,0.10081,0.03501,2.31583,3.11992,1.19973,0.000696044,0.000696044,0.000696044
20,17.8278,2.51814,2.36713,1.28197,0.095,0.43182,0.10081,0.03501,2.31583,3.11992,1.19973,0.000731094,0.000731094,0.000731094
21,18.7168,2.60752,2.18075,1.38008,0.095,0.43182,0.10081,0.03501,2.31583,3.11992,1.19973,0.00076588,0.00076588,0.00076588
22,19.6456,2.46126,2.21852,1.23792,0.095,0.43182,0.10081,0.03501,2.31583,3.11992,1.19973,0.000800402,0.000800402,0.000800402
23,20.5446,2.33818,2.37153,1.18563,0.095,0.43182,0.10081,0.03501,2.31583,3.11992,1.19973,0.00083466,0.00083466,0.00083466
24,21.3819,2.48126,2.25221,1.30168,0.095,0.43182,0.10081,0.03501,2.31583,3.11992,1.19973,0.000868654,0.000868654,0.000868654
25,22.2626,2.5993,2.28748,1.27787,0.095,0.43182,0.10081,0.03501,2.31583,3.11992,1.19973,0.000902384,0.000902384,0.000902384
26,23.1406,2.93685,2.13867,1.28733,0.095,0.43182,0.10081,0.03501,2.31583,3.11992,1.19973,0.00093585,0.00093585,0.00093585
27,24.0777,2.60894,2.27614,1.21422,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.000969052,0.000969052,0.000969052
28,24.9741,2.49692,1.55486,1.19284,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00100199,0.00100199,0.00100199
29,25.9099,2.44199,1.82658,1.18256,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00103466,0.00103466,0.00103466
30,26.8786,2.6123,1.81065,1.17529,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00106707,0.00106707,0.00106707
31,27.7724,2.52313,1.78819,1.24683,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00109922,0.00109922,0.00109922
32,28.7178,2.56222,1.89773,1.19781,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.0011311,0.0011311,0.0011311
33,29.6453,2.42082,1.7494,1.22441,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00116272,0.00116272,0.00116272
34,30.5361,2.50933,1.75475,1.20048,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00119407,0.00119407,0.00119407
35,31.456,2.66691,1.97338,1.308,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00122516,0.00122516,0.00122516
36,32.4186,2.61053,1.79554,1.21881,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00125599,0.00125599,0.00125599
37,33.4255,2.44606,1.78515,1.37071,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00128655,0.00128655,0.00128655
38,34.2793,2.34431,1.80109,1.26408,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00131685,0.00131685,0.00131685
39,35.1754,2.48154,1.69617,1.33008,0.67459,0.30625,0.3621,0.11698,2.37866,2.40715,1.20296,0.00134688,0.00134688,0.00134688
40,36.1152,2.54224,1.72228,1.29893,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00137665,0.00137665,0.00137665
41,36.9617,2.52076,1.61154,1.22953,0.42584,0.36364,0.31131,0.10154,2.41487,1.68336,1.20888,0.00140616,0.00140616,0.00140616
