epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.719404,3.22199,3.66817,2.24853,0.00111,0.00483,0.00056,0.00011,2.7051,3.62709,1.64979,2e-05,2e-05,2e-05
2,1.57346,2.99841,3.63643,1.78546,0.00111,0.00483,0.00056,0.00017,2.58811,3.6165,1.57192,5.9406e-05,5.9406e-05,5.9406e-05
3,2.45179,3.02788,3.63177,1.78899,0.00111,0.00483,0.00056,0.00017,2.58811,3.6165,1.57192,9.802e-05,9.802e-05,9.802e-05
4,3.32378,2.48149,3.71566,1.80633,0.00667,0.02899,0.00346,0.00131,2.46132,3.59879,1.45267,0.000135842,0.000135842,0.000135842
5,4.08245,2.74542,3.55914,1.73073,0.00667,0.02899,0.00346,0.00131,2.46132,3.59879,1.45267,0.000172872,0.000172872,0.000172872
6,4.76607,2.64074,3.50296,1.74696,0.02889,0.1256,0.01721,0.00579,2.43529,3.53636,1.37419,0.00020911,0.00020911,0.00020911
7,5.45133,2.57248,3.43276,1.52036,0.02889,0.1256,0.01721,0.00579,2.43529,3.53636,1.37419,0.000244556,0.000244556,0.000244556
8,6.1067,2.57756,3.4153,1.5828,0.02889,0.1256,0.01721,0.00579,2.43529,3.53636,1.37419,0.00027921,0.00027921,0.00027921
9,6.78089,2.52881,3.34844,1.6479,0.07556,0.3285,0.07206,0.02333,2.43331,3.40961,1.26777,0.000313072,0.000313072,0.000313072
10,7.48112,2.18454,3.18516,1.48777,0.07556,0.3285,0.07206,0.02333,2.43331,3.40961,1.26777,0.000346142,0.000346142,0.000346142
11,8.24108,2.73589,3.32491,1.40402,0.07556,0.3285,0.07206,0.02333,2.43331,3.40961,1.26777,0.00037842,0.00037842,0.00037842
12,8.89341,2.25338,3.01104,1.56178,0.07556,0.3285,0.07206,0.02333,2.43331,3.40961,1.26777,0.000409906,0.000409906,0.000409906
13,9.66451,2.39913,3.20167,1.29663,0.10333,0.44928,0.10743,0.03582,2.36865,3.33045,1.21731,0.0004406,0.0004406,0.0004406
14,10.4897,2.47819,2.97785,1.38896,0.10333,0.44928,0.10743,0.03582,2.36865,3.33045,1.21731,0.000470502,0.000470502,0.000470502
15,11.2309,2.40644,2.95598,1.39015,0.10333,0.44928,0.10743,0.03582,2.36865,3.33045,1.21731,0.000499612,0.000499612,0.000499612
16,12.0472,2.72154,2.97431,1.36065,0.10333,0.44928,0.10743,0.03582,2.36865,3.33045,1.21731,0.00052793,0.00052793,0.00052793
17,12.7424,2.46453,2.97919,1.46323,0.10333,0.44928,0.10743,0.03582,2.36865,3.33045,1.21731,0.000555456,0.000555456,0.000555456
18,13.7247,2.24555,2.89309,1.3887,0.10333,0.44928,0.10743,0.03582,2.36865,3.33045,1.21731,0.00058219,0.00058219,0.00058219
19,14.691,2.40419,2.80244,1.42213,0.10778,0.4686,0.11174,0.03974,2.25928,3.19662,1.22134,0.000608132,0.000608132,0.000608132
20,15.5213,2.57929,2.44321,1.27273,0.10778,0.4686,0.11174,0.03974,2.25928,3.19662,1.22134,0.000633282,0.000633282,0.000633282
21,16.1884,2.33325,2.22958,1.40882,0.10778,0.4686,0.11174,0.03974,2.25928,3.19662,1.22134,0.00065764,0.00065764,0.00065764
22,16.8833,2.3459,2.6431,1.37353,0.10778,0.4686,0.11174,0.03974,2.25928,3.19662,1.22134,0.000681206,0.000681206,0.000681206
23,17.5897,2.27684,2.481,1.26982,0.10778,0.4686,0.11174,0.03974,2.25928,3.19662,1.22134,0.00070398,0.00070398,0.00070398
24,18.3927,2.38962,2.3946,1.49719,0.10778,0.4686,0.11174,0.03974,2.25928,3.19662,1.22134,0.000725962,0.000725962,0.000725962
25,19.1687,2.27568,2.55442,1.26306,0.10778,0.4686,0.11174,0.03974,2.25928,3.19662,1.22134,0.000747152,0.000747152,0.000747152
26,19.8789,2.38184,2.63241,1.29795,0.10778,0.4686,0.11174,0.03974,2.25928,3.19662,1.22134,0.00076755,0.00076755,0.00076755
27,20.6118,2.28428,2.60787,1.34049,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.000787156,0.000787156,0.000787156
28,21.5041,2.60944,2.34718,1.60391,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.00080597,0.00080597,0.00080597
29,22.2969,2.20594,1.97551,1.29094,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.000823992,0.000823992,0.000823992
30,23.03,2.33605,2.11265,1.25046,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.000841222,0.000841222,0.000841222
31,23.8614,2.45836,2.14558,1.22316,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.00085766,0.00085766,0.00085766
32,24.6686,2.3691,1.90063,1.38403,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.000873306,0.000873306,0.000873306
33,25.4779,2.38271,2.13397,1.34696,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.00088816,0.00088816,0.00088816
34,26.3361,2.42505,2.09781,1.40971,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.000902222,0.000902222,0.000902222
35,27.0253,2.25741,2.03869,1.42458,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.000915492,0.000915492,0.000915492
36,27.8146,2.30016,2.01181,1.37741,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.00092797,0.00092797,0.00092797
37,28.5816,2.40926,2.00288,1.28167,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.000939656,0.000939656,0.000939656
38,29.3275,2.49575,2.04074,1.40282,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.00095055,0.00095055,0.00095055
39,30.0727,2.50197,2.2655,1.52757,0.17896,0.48792,0.42142,0.14858,2.24972,2.65375,1.2004,0.000960652,0.000960652,0.000960652
40,31.0407,2.48,1.95432,1.21943,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.000969962,0.000969962,0.000969962
41,36.9979,2.25419,1.70128,1.217,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.00097848,0.00097848,0.00097848
42,37.7921,2.24358,1.73647,1.19313,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.000986206,0.000986206,0.000986206
43,38.4511,2.31909,1.60673,1.31001,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.00099314,0.00099314,0.00099314
44,39.1283,2.23334,1.49774,1.22459,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.000999282,0.000999282,0.000999282
45,39.8376,2.1387,1.55207,1.15929,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.00100463,0.00100463,0.00100463
46,40.5573,2.32454,1.78123,1.27666,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.00100919,0.00100919,0.00100919
47,41.3088,2.18583,2.25341,1.29191,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.00101296,0.00101296,0.00101296
48,41.9804,2.27434,1.50298,1.25875,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.00101593,0.00101593,0.00101593
49,42.6817,2.14176,2.35458,1.35148,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.00101811,0.00101811,0.00101811
50,43.3308,2.39401,1.61286,1.3209,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.0010195,0.0010195,0.0010195
51,43.9513,2.36441,1.56068,1.23659,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.00101,0.00101,0.00101
52,44.6575,2.288,1.79697,1.30525,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.0009902,0.0009902,0.0009902
53,45.4006,2.23087,1.72558,1.22597,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.0009704,0.0009704,0.0009704
54,46.2395,2.4966,1.77994,1.31487,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.0009506,0.0009506,0.0009506
55,46.9605,2.32374,1.87171,1.2089,0.56224,0.4058,0.44206,0.16993,2.2596,1.68108,1.18485,0.0009308,0.0009308,0.0009308
56,47.7258,2.36419,1.68756,1.25645,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.000911,0.000911,0.000911
57,48.4496,2.41226,1.61271,1.14538,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.0008912,0.0008912,0.0008912
58,49.1627,2.27162,1.44039,1.17588,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.0008714,0.0008714,0.0008714
59,49.8069,2.35557,1.62784,1.25632,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.0008516,0.0008516,0.0008516
60,50.5008,2.67051,3.95394,1.75627,0.57999,0.57005,0.54515,0.19521,2.27922,1.31767,1.23611,0.0008318,0.0008318,0.0008318
